"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
706,1.48814118,706,1.47616e-7,0.026274750206929796,,
707,1.48866093,707,1.13273e-7,0.020133387533243376,,
708,1.488409,708,1.35632e-7,0.024073474282016432,,
709,1.48791015,709,1.31287e-7,0.023269409010541222,,
710,1.487954,710,1.30134e-7,0.02303256441590164,,
711,1.48777187,711,1.2063e-7,0.02132041191575453,,
712,1.48759735,712,1.41651e-7,0.02500054724571055,,
713,1.48810828,713,1.30554e-7,0.02300967670669071,,
714,1.48792827,714,1.35889e-7,0.023916408073034367,,
715,1.488384,715,1.38762e-7,0.02438789817048542,,
716,1.48863828,716,1.26857e-7,0.022264414483600024,,
717,1.48823142,717,1.56474e-7,0.02742413215496844,,
718,1.487622,718,1.4658e-7,0.025654298114941056,,
719,1.48764324,719,1.1793e-7,0.020611294666917624,,
720,1.48792255,720,1.43229e-7,0.02499817634338958,,
721,1.48749,721,1.35447e-7,0.02360717337868387,,
722,1.48765755,722,1.37605e-7,0.023950075185441747,,
723,1.48776865,723,1.21376e-7,0.021096207464570662,,
724,1.48771036,724,1.33315e-7,0.023139305227255432,,
725,1.487396,725,1.09189e-7,0.018925647462224325,,
726,1.48686266,726,1.59784e-7,0.0276570931438673,,
727,1.48789239,727,1.49655e-7,0.025868228257110347,,
728,1.48744678,728,1.34333e-7,0.023187888238169103,,
729,1.48720264,729,1.43057e-7,0.0246599078323509,,
730,1.48784935,730,1.46756e-7,0.025262880628505405,,
731,1.48693967,731,1.29393e-7,0.022243507426864248,,
732,1.48736668,732,1.45226e-7,0.02493119861804543,,
733,1.48845375,733,1.09516e-7,0.018775152035500127,,
734,1.48658371,734,1.04697e-7,0.01792454092931284,,
735,1.48659658,735,1.43586e-7,0.024549046136508518,,
736,1.486347,736,1.1954e-7,0.020410107924463253,,
737,1.487337,737,1.20523e-7,0.02055002287048047,,
738,1.48716009,738,1.44676e-7,0.024634854132832354,,
739,1.48693669,739,1.19863e-7,0.020382177008781237,,
740,1.48705053,740,1.17629e-7,0.019975264986438583,,
741,1.48649967,741,1.22371e-7,0.020752487698377144,,
742,1.48678625,742,1.6211e-7,0.02745464070476773,,
743,1.48688531,743,1.01342e-7,0.017139988301485696,,
744,1.486787,744,1.48599e-7,0.025098791759719876,,
745,1.48634875,745,1.09229e-7,0.018424323434038097,,
746,1.48582268,746,1.37287e-7,0.02312599628061029,,
747,1.48651361,747,1.06765e-7,0.0179604894061855,,
748,1.48596478,748,1.7219e-7,0.028927852354097672,,
749,1.48654461,749,1.24296e-7,0.020853799758109314,,
750,1.48662329,750,1.34007e-7,0.022453088358912396,,
751,1.48640788,751,1.65391e-7,0.02767462852569212,,
752,1.48795354,752,1.5191e-7,0.025385071276958802,,
